id_estaciones,lat,lon,pertenece_poligono
IDESPE1,-31.90388,-64.11096,True
IBERRO3,-32.325,-64.04,True
IROCUA40,-33.27687,-63.96306,True
ICRDOB164,-31.49152,-64.16435,False
ICRDOB148,-31.48869,-64.14504,False
ICRDOBA65,-31.485,-64.15153,False
ICRDOBA61,-31.4718,-64.18931,False
IROSEG9,-31.76988,-64.041,True
IDESPE2,-31.76859,-63.98987,True
ISANTA580,-31.91986,-64.05231,True
IJUREZ14,-32.70459,-63.86128,True
IJUREZ15,-32.70499,-63.8608,True
IJUREZ25,-33.63663,-63.7689,True
IJUREZ12,-33.63488,-63.76425,True
IROSEG28,-31.59656,-63.98035,False
ICRDOBA72,-31.45892,-64.21125,False
IDEPAR28,-32.23059,-63.99378,True
IDEPAR77,-32.24136,-63.98643,True
IBERRO1,-32.37638,-63.94392,True
IJUREZ24,-33.65328,-63.73337,True
ICHAPA31,-35.26886,-63.55136,False
ICRDOBAC49,-31.45477,-64.20538,False
IROSEG30,-31.64373,-63.89931,True
IROSEGUN9,-31.65049,-63.89881,True
IDEPAR18,-32.69967,-63.70966,True
IJUREZ22,-33.35002,-63.71569,True
IGENER80,-35.12061,-63.38136,False
IJUREZ17,-33.33893,-63.71738,True
IPRESI28,-34.13356,-63.39651,True
IPRESI23,-34.13368,-63.3964,True
IROSEG17,-31.65297,-63.79043,True
IROSEG19,-31.64587,-63.75907,True
IONCAT1,-31.9563,-63.78016,True
ICORDOBA23,-33.10604,-63.72686,True
ILABOU36,-34.01165,-63.44069,True
IEMILI7,-34.78225,-63.19593,False
IROSEG22,-31.91179,-63.67847,True
IHERNA59,-32.435,-63.722,True
IDEPAR20,-32.61034,-63.57687,True
IPRESI26,-33.9037,-63.48617,True
IVILLA1585,-31.56468,-63.55554,False
IROSEG26,-31.70888,-63.51663,True
IJUREZCE2,-33.20335,-63.396,True
IJUREZ19,-33.20659,-63.39649,True
IGENER235,-32.47803,-63.49098,True
IROSEG3,-31.4828,-63.4858,False
IGENER84,-33.07761,-63.27917,True
ISANTA1211,-33.14201,-63.27978,True
IROSEG7,-31.64741,-63.35642,True
IROSEG6,-31.64752,-63.3564,True
IROSEG25,-31.86166,-63.27837,True
ICALCH1,-31.86106,-63.26002,True
IDEPAR24,-32.04837,-63.20017,True
IGENERAL29,-32.38752,-63.2481,True
ICRDOBAV12,-32.4084,-63.25929,True
IVILLA255,-32.42212,-63.26612,True
IVILLA564,-32.42206,-63.26598,True
ICRDOBAV11,-32.45831,-63.24699,True
IROSAL14,-34.1726,-63.15174,True
IPRESI18,-34.28921,-63.07721,True
IROSEG12,-31.53803,-63.35008,False
IROSEG5,-31.65056,-63.34527,True
IROSEG20,-31.64782,-63.32787,True
ICALCH2,-31.82235,-63.24038,True
IVILLA357,-32.39389,-63.24893,True
IPRESIDE9,-33.93237,-63.10918,True
IGENER136,-34.99474,-62.9935,False
ICALAPLA4,-32.13066,-63.02647,True
IUNIND7,-33.83358,-63.07027,True
IBAGENER2,-34.99403,-62.9927,False
IROSEG27,-31.66675,-63.21333,True
IUNINDEP8,-33.14614,-62.85382,True
IGENER328,-35.026,-63.013,False
IBUENOSA268,-34.99377,-62.98393,False
IROSEGUN12,-31.95266,-62.95919,True
IPOZOD3,-31.96485,-62.95581,True
IUNIND9,-32.72361,-62.90354,True
IJUSTI1,-32.8949,-62.7935,True
IUNIND8,-33.88088,-62.8413,True
ISANJU96,-31.66367,-63.05339,True
ICASACAN2,-31.66474,-63.05362,True
IGENERAL38,-35.03333,-63.01667,False
ISACAN1,-31.63576,-62.99316,True
IUNINDEP9,-32.59175,-62.83684,True
IUNIND3,-32.97619,-62.63995,True
IMONTE794,-33.31135,-62.59395,True
IGENER95,-34.27402,-62.71848,True
IGENER153,-34.27443,-62.7183,True
IUNINDEP6,-32.8901,-62.68016,True
IJUSTI2,-32.89,-62.677,True
IUNIND5,-32.91643,-62.66976,True
IMARCO46,-33.63077,-62.65502,True
IGENER39,-34.27404,-62.71837,True
ISANJU16,-31.6342,-62.9905,True
IUNIND6,-32.94331,-62.64167,True
IGUATI1,-33.37512,-62.54288,True
IMARCO45,-33.59964,-62.63028,True
IGENER152,-34.27405,-62.71827,True
IRUFIN8,-34.2741,-62.71825,True
ISANJUST4,-31.4258,-63.063,False
ISANJU163,-31.42219,-63.05584,False
ICORDOBA21,-31.41781,-63.06226,False
ISANJU137,-31.40835,-63.04326,False
IBELLV29,-32.623,-62.699,True
IGENER55,-34.27678,-62.70961,True
IGENER147,-34.26587,-62.70013,True
IBUENOSA228,-35.07018,-62.77043,False
ISANJU103,-31.38122,-62.82687,False
ILASVA3,-31.8149,-62.66791,True
ILASVA1,-31.81491,-62.66735,True
ILASVA4,-31.80152,-62.61994,True
IUNIND10,-32.71967,-62.5202,True
IUNINDEP7,-32.8776,-62.54501,True
IARIAS1,-33.643,-62.396,True
IGENER124,-34.25549,-62.67659,True
ISANJU56,-31.80311,-62.61366,True
ILASVA2,-31.806,-62.613,True
IUNIND11,-32.63209,-62.47656,True
IMARCO18,-33.23942,-62.4029,True
IMARCO4,-33.23812,-62.40187,True
IISLAV1,-33.34703,-62.35659,True
IBAFLORE2,-34.84522,-62.46643,False
IMARCO13,-33.46826,-62.31841,True
IGENER245,-34.11331,-62.44073,True
IGENER220,-34.19209,-62.54242,True
ICAELFOR3,-31.96781,-62.30485,True
IGENER212,-34.26004,-62.48217,True
IFLORE99,-34.82686,-62.39644,False
IFLORE129,-34.88131,-62.43404,False
IFLORE101,-34.90771,-62.45808,False
ISANJU117,-31.96777,-62.30475,True
IUNINDEP2,-32.37603,-62.30327,True
IMARCO14,-32.48887,-62.29673,True
ILEONE4,-32.61869,-62.31432,True
IFLORE44,-34.8864,-62.43049,False
ICAVILLA8,-31.32628,-62.81509,False
ISANJU43,-31.96685,-62.30408,True
IMARCO20,-32.64162,-62.30589,True
IAMENB2,-34.15824,-62.41907,True
IFLORE121,-34.77969,-62.26382,False
ISANJUST11,-31.5668,-62.25848,False
IGENER186,-34.014,-62.245,True
IGENER50,-33.87352,-62.17837,True
IGENER327,-35.0701,-62.44444,False
IGENER364,-33.07448,-62.26098,True
IMARCO31,-32.70973,-62.26438,True
ILEONE5,-32.83925,-62.2619,True
ICORRA24,-33.28956,-62.18776,True
IMARCO41,-33.2821,-62.18589,True
IGENER234,-34.18508,-62.31019,True
IGENER233,-34.2261,-62.35783,True
ISANFR5,-31.42175,-62.09169,False
IGENER120,-34.26615,-62.32563,True
IGENER210,-34.26647,-62.32347,True
IGENER213,-34.26677,-62.32304,True
ICORON63,-34.90742,-62.05104,False
ISANFRAN7,-31.43484,-62.07896,False
IFRONT90,-31.45447,-62.06335,False
IMARCO62,-32.692,-62.113,True
IINRIV1,-32.95489,-62.19322,True
IVENAD3,-33.72047,-62.00786,True
IGENER149,-34.10913,-62.15906,True
IGENERAL46,-34.575,-61.9833,True
ISANMA93,-31.89773,-61.84065,False
IBOUQU10,-32.3606,-61.93856,True
ISANMA134,-32.26572,-61.90105,True
ISANMART48,-32.2657,-61.90102,True
IMARCO67,-32.80747,-62.14012,True
ILACHI9,-33.5446,-61.9729,True
IVENAD4,-33.755,-61.97,True
IVENADOT2,-33.748,-61.96755,True
IMARAT12,-33.98409,-62.02066,True
IGENER189,-34.4017,-62.04299,True
IFRONT72,-31.42241,-62.0588,False
IPLAZA6,-31.3686,-62.09927,False
IBOUQU19,-32.37753,-61.92757,True
IBOUQU15,-32.37879,-61.92666,True
IMARCO49,-33.03006,-62.06252,True
ICAFFE7,-33.41893,-61.99214,True
IGENER30,-34.32626,-62.05275,True
ISANGR10,-34.32485,-62.05267,True
IBOUQU17,-32.37962,-61.92035,True
IBOUQU5,-32.43844,-61.92963,True
ICALOSSU3,-32.9813,-62.02894,True
IARTEA68,-33.18248,-61.95655,True
ICASTE469,-31.63277,-61.82643,False
ISANMA59,-31.77376,-61.82968,False
ISANMA108,-32.04941,-61.78163,False
IGENER348,-32.85501,-61.94036,True
IARTEA67,-33.18185,-61.95559,True
ICASER25,-33.34105,-61.96302,True
IGENER307,-33.61658,-61.8779,True
ISANTA1080,-31.434,-61.8577,False
ISANTA1081,-31.43399,-61.84443,False
IARTEA47,-33.178,-61.916,True
IROBER34,-35.07138,-62.00558,False
ICASTE226,-31.66501,-61.76643,False
ICASTE202,-31.68284,-61.74855,False
IGENER111,-33.61691,-61.79503,True
IGENERAL65,-33.89834,-61.82714,True
ILEAND17,-34.44118,-61.81163,True
ILEANDRO2,-34.44113,-61.81163,True
ILEAND2,-34.44075,-61.81027,True
ILEAND3,-34.44466,-61.80742,True
IPUEBL101,-31.67163,-61.75272,False
ITORTU3,-32.7455,-61.79251,True
ICRUZA9,-33.01,-61.811,True
IARTEA72,-33.094,-61.795,True
IGENER138,-33.84171,-61.77819,True
IGENER125,-34.38211,-61.75927,True
IPUEBL102,-31.67189,-61.75147,False
IELTRB1,-32.202,-61.704,True
ISANMA46,-32.20275,-61.69768,True
IBELGR68,-32.40125,-61.85362,True
IBOUQU3,-32.44668,-61.83784,True
IBELGR31,-32.5629,-61.76703,True
ITORTU2,-32.74675,-61.79193,True
IMARCOSJ3,-32.99076,-61.79148,True
