stationId,lat,lon,categoria
IROSARIO6,-32.95418,-60.63477,activa
IPERGA18,-33.89796,-60.54726,activa
ISANTAFE117,-32.97002,-60.62426,activa
ISANNI51,-33.33651,-60.21306,activa
IROCUART11,-32.47144,-64.39536,inactiva
IPRESI21,-34.03986,-64.00543,inactiva
ISANTA87,-31.73144,-64.44972,inactiva
IROCUA41,-33.27956,-63.97487,inactiva
IROSAL14,-34.1726,-63.15174,inactiva
IGENER50,-33.87352,-62.17837,inactiva
ICRUZA12,-33.00784,-61.79809,inactiva
IBELGRAN3,-32.68311,-61.52012,inactiva
ISALTO91,-32.78179,-60.90927,inactiva
IJUNN26,-34.58854,-60.93216,inactiva
IROSAR118,-32.96751,-60.73348,inactiva
IDEPAR62,-31.82446,-64.97164,bd
IJUNND5,-32.32057,-65.01967,bd
IJUNND3,-32.34725,-64.99082,bd
IRODEL10,-32.52993,-64.59087,bd
ICAADA3,-32.36943,-64.6375,bd
ISANTA43,-31.7897,-64.54444,bd
IVILLA1083,-31.97811,-64.57768,bd
ICALAM32,-31.99727,-64.55823,bd
IROCUA46,-32.42432,-64.19222,bd
IROCUA49,-32.52108,-64.14266,bd
ICALAM23,-32.03134,-64.35606,bd
IADELI1,-33.6358,-64.02161,bd
IROCUART12,-33.23739,-64.14407,bd
ISANTA203,-31.80564,-64.1855,bd
IDESPE1,-31.90388,-64.11096,bd
IROSEG9,-31.76988,-64.041,bd
IDESPE2,-31.76859,-63.98987,bd
IJUREZ15,-32.70499,-63.8608,bd
IJUREZ12,-33.63488,-63.76425,bd
IDEPAR77,-32.24136,-63.98643,bd
IONCAT1,-31.9563,-63.78016,bd
ICORDOBA23,-33.10604,-63.72686,bd
IJUREZ19,-33.20659,-63.39649,bd
IROSEG26,-31.70888,-63.51663,bd
IGENER235,-32.47803,-63.49098,bd
ISANTA1211,-33.14201,-63.27978,bd
ICRDOBAV12,-32.4084,-63.25929,bd
IPRESI18,-34.28921,-63.07721,bd
IUNINDEP8,-33.14614,-62.85382,bd
IUNIND8,-33.88088,-62.8413,bd
IGENER147,-34.26587,-62.70013,bd
IMARCO44,-33.80277,-62.46669,bd
IGENER124,-34.25549,-62.67659,bd
IISLAV1,-33.34703,-62.35659,bd
IGENER245,-34.11331,-62.44073,bd
IGENER220,-34.19209,-62.54242,bd
ISANJU117,-31.96777,-62.30475,bd
IAMENB2,-34.15824,-62.41907,bd
IGENER186,-34.014,-62.245,bd
IGENER364,-33.07448,-62.26098,bd
IMARCO41,-33.2821,-62.18589,bd
IDIEGO12,-34.26619,-62.31376,bd
IINRIV1,-32.95489,-62.19322,bd
IVENAD3,-33.72047,-62.00786,bd
IGENER149,-34.10913,-62.15906,bd
ILACHI9,-33.5446,-61.9729,bd
IGENER189,-34.4017,-62.04299,bd
IMARCO49,-33.03006,-62.06252,bd
IGENER348,-32.85501,-61.94036,bd
ICASER25,-33.34105,-61.96302,bd
ILEAND17,-34.44118,-61.81163,bd
ITORTU3,-32.7455,-61.79251,bd
IBELGR31,-32.5629,-61.76703,bd
IMARCOSJ3,-32.99076,-61.79148,bd
ISANTAFE23,-34.09528,-61.62832,bd
IGENER96,-34.00431,-61.6076,bd
ILASPA81,-32.6708,-61.58348,bd
IGENER106,-33.77736,-61.54684,bd
ILASPA72,-32.71113,-61.55494,bd
ICASER34,-33.11229,-61.70878,bd
IGENER180,-33.42926,-61.4992,bd
ILEAND6,-34.49901,-61.53946,bd
ISANJO74,-33.11068,-61.70217,bd
ICONST54,-33.43706,-61.48428,bd
ICAADA2,-32.81924,-61.40066,bd
IIRION6,-32.81636,-61.39493,bd
ICASER21,-33.24656,-61.3591,bd
ILEAND30,-34.53038,-61.23785,bd
IBUSTI3,-32.71486,-61.22759,bd
ICASER40,-33.05811,-61.1895,bd
ISANFO4,-33.14722,-61.27769,bd
ICASER41,-33.04902,-61.16814,bd
ICASER12,-33.0443,-61.16682,bd
ISANTAFE60,-33.29809,-61.18485,bd
ICASER32,-33.37253,-61.18696,bd
IBIGAN11,-33.36871,-61.18133,bd
IIRION3,-32.5906,-61.1708,bd
IIRIONDO2,-32.70645,-61.16761,bd
ICASIL2,-33.12349,-61.08713,bd
ICOLN10,-33.89708,-61.10893,bd
