stationID;obsTimeLocal;precipTotal_mm;;
IROSAR100;2025/02/05 11:39;63.6;;
IROSAR100;2025/02/05 11:44;63.6;;
IROSAR100;2025/02/05 11:49;63.6;;
IROSAR100;2025/02/05 11:54;63.6;;
IROSAR100;2025/02/05 11:59;63.6;;
IROSAR100;2025/02/05 12:04;63.6;;
IROSAR100;2025/02/05 12:09;63.6;;
IROSAR100;2025/02/05 12:14;63.6;;
IROSAR100;2025/02/05 12:19;63.6;;
IROSAR100;2025/02/05 12:24;63.6;;
IROSAR100;2025/02/05 12:29;63.6;;
IROSAR100;2025/02/05 12:34;63.6;;
IROSAR100;2025/02/05 12:39;63.6;;
IROSAR100;2025/02/05 12:44;64.29;;
IROSAR100;2025/02/05 12:49;69.19;;
IROSAR100;2025/02/05 12:54;76.81;;
IROSAR100;2025/02/05 12:59;82.6;;
IROSAR100;2025/02/05 13:04;88.19;;
IROSAR100;2025/02/05 13:09;93.8;;
IROSAR100;2025/02/05 13:14;95.1;;
IROSAR100;2025/02/05 13:19;95.61;;
IROSAR100;2025/02/05 13:24;95.61;;
IROSAR100;2025/02/05 13:29;95.81;;
IROSAR100;2025/02/05 13:34;95.81;;
IROSAR100;2025/02/05 13:39;95.81;;
IROSAR100;2025/02/05 13:44;97.1;;
IROSAR100;2025/02/05 13:49;99.39;;
IROSAR100;2025/02/05 13:54;100.89;;
IROSAR100;2025/02/05 13:59;102.69;;
IROSAR100;2025/02/05 14:04;104.19;;
IROSAR100;2025/02/05 14:09;105;;
IROSAR100;2025/02/05 14:14;105.21;;
IROSAR100;2025/02/05 14:19;105.21;;
IROSAR100;2025/02/05 14:24;105.21;;
IROSAR100;2025/02/05 14:29;105.21;;
IROSAR100;2025/02/05 14:34;105.21;;
IROSAR100;2025/02/05 14:39;105.21;;
IROSAR100;2025/02/05 14:44;105.21;;
IROSAR100;2025/02/05 14:49;105.21;;
IROSAR100;2025/02/05 14:54;105.21;;
IROSAR100;2025/02/05 14:59;105.21;;
IROSAR100;2025/02/05 15:04;106.5;;
IROSAR100;2025/02/05 15:09;106.5;;
IROSAR100;2025/02/05 15:14;106.81;;
IROSAR100;2025/02/05 15:19;106.81;;
IROSAR100;2025/02/05 15:24;106.81;;
IROSAR100;2025/02/05 15:29;106.81;;
IROSAR100;2025/02/05 15:34;106.81;;
IROSAR100;2025/02/05 15:39;106.81;;
IROSAR100;2025/02/05 15:44;106.81;;
IROSAR100;2025/02/05 15:49;106.81;;
IROSAR100;2025/02/05 15:54;106.81;;
IROSAR100;2025/02/05 15:59;106.81;;
IROSAR100;2025/02/05 16:04;106.81;;
IROSAR100;2025/02/05 16:09;106.81;;
IROSAR100;2025/02/05 16:14;106.81;;
IROSAR100;2025/02/05 16:19;106.81;;
IROSAR100;2025/02/05 16:24;107.01;;
IROSAR100;2025/02/05 16:29;107.01;;
IROSAR100;2025/02/05 16:34;107.49;;
IROSAR100;2025/02/05 16:39;107.49;;
IROSAR100;2025/02/05 16:44;107.49;;
IROSAR100;2025/02/05 16:49;107.49;;
IROSAR100;2025/02/05 16:54;107.49;;
IROSAR100;2025/02/05 16:59;107.49;;
IROSAR100;2025/02/05 17:04;107.49;;
IROSAR100;2025/02/05 17:09;107.49;;
IROSAR100;2025/02/05 17:14;107.49;;
IROSAR100;2025/02/05 17:19;107.49;;
IROSAR100;2025/02/05 17:24;107.49;;
IROSAR100;2025/02/05 17:29;107.49;;
IROSAR100;2025/02/05 17:34;107.49;;
IROSAR100;2025/02/05 17:39;107.49;;
IROSAR100;2025/02/05 17:44;107.49;;
IROSAR100;2025/02/05 17:49;107.49;;
IROSAR100;2025/02/05 17:54;107.49;;
IROSAR100;2025/02/05 17:59;107.49;;
IROSAR100;2025/02/05 18:04;107.49;;
IROSAR100;2025/02/05 18:09;107.49;;
IROSAR100;2025/02/05 18:14;107.49;;
IROSAR100;2025/02/05 18:19;107.49;;
IROSAR100;2025/02/05 18:24;107.49;;
IROSAR100;2025/02/05 18:29;107.49;;
IROSAR100;2025/02/05 18:34;107.49;;
IROSAR100;2025/02/05 18:39;107.49;;
IROSAR100;2025/02/05 18:44;107.49;;
IROSAR100;2025/02/05 18:49;107.49;;
IROSAR100;2025/02/05 18:54;107.49;;
IROSAR100;2025/02/05 18:59;107.49;;
IROSAR100;2025/02/05 19:04;107.49;;
IROSAR100;2025/02/05 19:09;107.49;;
IROSAR100;2025/02/05 19:14;107.49;;
IROSAR100;2025/02/05 19:19;107.49;;
IROSAR100;2025/02/05 19:24;107.49;;
IROSAR100;2025/02/05 19:29;107.49;;
IROSAR100;2025/02/05 19:34;107.49;;
IROSAR100;2025/02/05 19:39;107.49;;
IROSAR100;2025/02/05 19:44;107.49;;
IROSAR100;2025/02/05 19:49;107.49;;
IROSAR100;2025/02/05 19:54;107.49;;
IROSAR100;2025/02/05 19:59;107.49;;
IROSAR100;2025/02/05 20:04;107.49;;
IROSAR100;2025/02/05 20:09;107.49;;
IROSAR100;2025/02/05 20:14;107.49;;
IROSAR100;2025/02/05 20:19;107.49;;
IROSAR100;2025/02/05 20:24;107.49;;
IROSAR100;2025/02/05 20:29;107.49;;
IROSAR100;2025/02/05 20:34;107.49;;
IROSAR100;2025/02/05 20:39;107.49;;
IROSAR100;2025/02/05 20:44;107.49;;
IROSAR100;2025/02/05 20:49;107.49;;
IROSAR100;2025/02/05 20:54;107.49;;
IROSAR100;2025/02/05 20:59;107.49;;
IROSAR100;2025/02/05 21:04;107.49;;
IROSAR100;2025/02/05 21:09;107.49;;
IROSAR100;2025/02/05 21:14;107.49;;
IROSAR100;2025/02/05 21:19;107.49;;
IROSAR100;2025/02/05 21:24;107.49;;
IROSAR100;2025/02/05 21:29;107.49;;
IROSAR100;2025/02/05 21:34;107.49;;
IROSAR100;2025/02/05 21:39;107.49;;
IROSAR100;2025/02/05 21:44;107.49;;
IROSAR100;2025/02/05 21:49;107.49;;
IROSAR100;2025/02/05 21:54;107.49;;
IROSAR100;2025/02/05 21:59;107.49;;
IROSAR100;2025/02/05 22:04;107.49;;
IROSAR100;2025/02/05 22:09;107.49;;
IROSAR100;2025/02/05 22:14;107.49;;
IROSAR100;2025/02/05 22:19;107.49;;
IROSAR100;2025/02/05 22:24;107.49;;
IROSAR100;2025/02/05 22:29;107.49;;
IROSAR100;2025/02/05 22:34;107.49;;
IROSAR100;2025/02/05 22:39;107.49;;
IROSAR100;2025/02/05 22:44;107.49;;
IROSAR100;2025/02/05 22:49;107.49;;
IROSAR100;2025/02/05 22:54;107.49;;
IROSAR100;2025/02/05 22:59;107.49;;
IROSAR100;2025/02/05 23:04;107.49;;
IROSAR100;2025/02/05 23:09;107.49;;
IROSAR100;2025/02/05 23:14;107.49;;
IROSAR100;2025/02/05 23:19;107.49;;
IROSAR100;2025/02/05 23:24;107.49;;
IROSAR100;2025/02/05 23:29;107.49;;
IROSAR100;2025/02/05 23:34;107.49;;
IROSAR100;2025/02/05 23:39;107.49;;
IROSAR100;2025/02/05 23:44;107.49;;
IROSAR100;2025/02/05 23:49;107.49;;
IROSAR100;2025/02/05 23:54;107.49;;
IROSAR100;2025/02/05 23:59;107.49;;
