"stationID","geom","obsTimeLocal","precipTotal_mm"
IROSAR100,POINT (-60.661 -32.934),2025-01-01 06:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 06:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 06:49:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 06:54:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 06:59:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:04:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:09:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:14:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:19:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:24:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:29:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:34:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:39:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:44:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:49:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:54:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 07:59:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 08:59:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 09:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 10:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 11:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 12:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:54:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 13:59:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:04:58.000,0.0
